Time,Motor1,Motor2,Motor3,Motor4
1674475764.4803474,6,0,0,0
1674475765.482579,23,0,16,0
1674475766.4850924,3,0,1,0
1674475767.4873943,0,0,0,0
1674475768.4903154,0,0,0,0
1674475769.4923072,1,0,0,1
1674475770.494336,0,0,0,0
1674475771.5009475,0,0,0,0
1674475772.5028737,21,25,21,24
1674475773.5046637,41,39,42,44
1674475774.5069904,89,93,89,94
1674475775.5088077,123,114,133,121
1674475776.5105226,96,89,94,91
1674475777.5127153,52,43,51,45
1674475778.5149674,108,101,105,107
1674475779.516788,66,70,69,64
1674475780.5191517,26,28,29,30
1674475781.5212948,89,85,89,87
1674475782.523663,30,25,29,24
1674475783.5320837,58,59,59,57
1674475784.5340328,70,69,68,66
1674475785.5358212,64,68,64,63
1674475786.5397851,48,47,46,46
1674475787.5424178,68,69,61,63
1674475788.5443463,58,61,55,61
1674475789.5462914,74,61,71,67
1674475790.5523105,85,90,85,76
1674475791.5617826,52,55,51,54
1674475792.5640137,106,102,97,102
1674475793.56669,161,148,158,161
1674475794.5689526,138,133,142,135
1674475795.5713005,96,89,91,83
1674475796.573277,41,34,37,38
1674475797.5785236,0,0,0,0
1674475798.5831275,27,24,27,19
1674475799.5860765,20,24,20,24
1674475800.5881956,24,14,21,18
1674475801.5902913,0,0,0,0
1674475802.5928366,121,120,118,116
1674475803.5949697,82,90,92,82
1674475804.5972915,115,122,125,118
1674475805.5990562,43,44,41,45
1674475806.601133,114,112,121,118
1674475807.6034715,129,120,131,119
1674475808.6054294,97,102,102,97
1674475809.6073644,2,3,3,3
1674475810.6119719,51,57,53,63
1674475811.6137154,2,0,2,0
1674475812.6155987,0,0,0,0
1674475813.6174054,0,0,0,0
1674475814.619693,0,0,0,0
1674475815.6214328,3,4,4,5
1674475816.6235487,152,155,156,152
1674475817.625214,146,151,149,149
1674475818.6349435,131,101,119,112
1674475819.637146,109,93,95,113
1674475820.6396148,119,105,104,107
1674475821.643593,31,29,30,30
1674475822.646327,31,27,26,28
1674475823.6484854,93,108,105,98
1674475824.6517534,94,81,87,83
1674475825.6538477,107,112,105,100
1674475826.6560066,167,157,170,173
1674475827.6580713,89,78,80,83
1674475828.659837,98,90,93,101
1674475829.662168,83,83,79,89
1674475830.6644976,87,80,75,88
1674475831.666508,97,84,91,93
1674475832.669303,144,135,147,150
1674475833.6721146,138,126,129,117
1674475834.6740704,33,33,33,32
1674475835.6758187,82,82,81,88
1674475836.6778195,98,94,89,97
1674475837.6799593,88,74,82,81
1674475838.6820831,78,69,73,66
1674475839.6838684,49,53,49,45
1674475840.685539,86,72,71,76
1674475841.6874382,40,33,32,36
1674475842.689387,16,14,17,15
1674475843.69168,0,0,0,0
1674475844.693643,0,0,0,0
1674475845.69982,0,0,0,0
1674475846.702027,0,0,0,0
1674475847.704288,0,0,0,0
1674475848.70634,0,0,0,0
1674475849.7080266,0,0,0,0
1674475850.710243,0,0,0,0
1674475851.7131329,0,0,0,0
1674475852.715019,0,0,0,0
1674475853.717042,0,0,0,0
1674475854.7187626,10,9,7,10
1674475855.720718,0,0,0,0
1674475856.7236185,0,0,0,0
1674475857.7257159,0,0,0,0
1674475858.7284865,13,18,13,17
1674475859.7310734,157,146,167,150
1674475860.7327754,144,143,157,143
1674475861.7348056,146,147,145,149
1674475862.743016,146,146,145,159
1674475863.7449546,35,41,29,36
1674475864.7469192,59,59,62,56
1674475865.7494578,60,64,60,65
1674475866.7514124,29,28,28,22
1674475867.7534904,155,152,162,167
1674475868.7554648,126,121,129,135
1674475869.7631571,82,91,97,78
1674475870.7663226,98,104,101,103
1674475871.7692072,124,116,127,119
1674475872.7715533,141,137,136,147
1674475873.7747657,116,104,107,170
1674475874.779376,160,157,165,152
1674475875.783728,150,145,172,159
1674475876.7866316,151,136,162,163
1674475877.7885985,3,5,5,5
1674475878.7905538,0,0,0,0
1674475879.7939446,0,0,0,0
1674475880.8034046,0,0,0,0
1674475881.8076773,0,0,0,0
1674475882.8095312,0,0,0,0
1674475883.8163428,0,0,0,0
